,tweet,Label
0,"Wacana Jokowi Jadi Wapres Sampai Disorot Media Asing, Singgung Nama Soeharto Sampai Megawati  https://t.co/2q5bfAoADX",kontra
1,Megawati Soekarnoputri bicara pentingnya kesetaraan dalam Forum for Peace and Prosperity. Dia mengajak semua delegasi negara menyampaikan ide tanpa basa-basi.  https://t.co/vRbaMHK5RR,pro
2,"@pengarang_sajak Kan PDIP juga feodal, ""tunggu keputusan ibu""  Ini organisasi politik apa anak cucu Megawati ya",kontra
3,Megawati: Modernisasi Jangan Lupakan Pentingnya Pelihara Lingkungan Hidup  https://t.co/VgG1ZnvXEl,pro
4,"Kalau Pak @jokowi jadi wakil Presiden, siapa yang paling cocok dan paling pasti mempunyai kemungkinan untuk diusung @PDI_Perjuangan ?  Ada @ganjarpranowo dan @puanmaharani_ri terserah Bu Megawati untuk memutuskan.",kontra
5,"@Tan_Mar3M @DoankWarto Namanya aja Bencong lompat pager. Hina dulu baru kabur.. urusan pribadi mau poligami, kasian Bapaknya Ibu Megawati..",kontra
6,"@AkbarinAmin @sosmedkeras Sulit dimengerti, semoga kawanmu Ferdy Sambo, Calon Istrimu jeje, guru ngaji mu Samsudin jadab, Tabunganmu disimpan Yusuf Mansur, mertuamu Megawati, rumahmu di jaga pemuda Pancasila, dan satu lagi. Semoga Rendang mu lengkuas semua.",kontra
7,"*Megawati Tanam Pohon di Jeju, Ada Makna Hubungan RI-Korea* #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/slekOLtzR4",pro
8,*Megawati Sampaikan Spirit Pancasila di Jeju Forum Korsel* #PDIPerjuangan #PDIPerjuanganJabar #SolidBergerak  Selengkapnya:  https://t.co/EawYlt3phs,pro
9,"Terkait penolakan kenaikan harga BBM, itu sama halnya dengan upaya membela orang-orang kaya, sebab pengguna bahan bakar jenis pertalite umumnya didominasi oleh orang mampu,” BansosUntuk WongCilik #KendaliInflasiLewatSubsidi   https://t.co/Q32XnJxRmD",kontra
10,"@Johnytruee @Khojan7 @yo2thok Indonesia kalo deket sama Rusia yg untung ya Megawati, PDIP, dan Cina. Lo selama ini cuma dimanfaatin mereka doang. Sadar gak? 🤣👍",kontra
11,@iFUSHlGURO @Askrlfess Megawati,netral
12,@Afat3K Kok ga ada Megawati yaaaah,netral
13,Megawati Sukarnoputri is a centrist,kontra
14,Saya yakin dgn kejadian ini bu Megawati gak bakal usung ganjar jd capres pdip,pro
15,"@AkhmadRoja @MuhniiArRazzaq Lah, apa-apa dikaitkan sama politik, Prabowo aja udah merapat ke Megawati, segitu mudahnya buat digiring ya bang, masalah Bjorka harusnya yang disorot bagaimana lemahnya sistem keamanan situs-situs pemerintah dan kinerja Kominfo. Malah bahas politik, politik mah kotor",kontra
16,@detikcom Gak masuk akal pdip itu pemenang suara terbanyak dan sedang berkuasa 😁gimana mungkin bukan megawati main dijadikan seperti itu wahhh mengada ngada ini cak iminnn🤣🤣🤣🤣,kontra
17,Ketua Umum PDIP Megawati Soekarnoputri mendapat jamuan makan malam bersama delegasi sejumlah negara yang bakal menghadiri Forum for Peace and Prosperity.  https://t.co/x7kpeJrmgW,pro
18,Ketum PDIP Megawati Soekarnoputri bicara terkait modernisasi lingkungan saat ini. Dia menyebut modernisasi itu membuat setiap orang seolah lupa pada alam.  https://t.co/UvOOCQbvat,pro
19,@CenterNFT #SolanaNFT,netral
20,"Megawati: Teknologi Hanya Alat Bantu, Tetapi Alam Ini Pemberian Allah SWT  https://t.co/IDOoF6mbdV",pro
21,"Adu domba pimpinan TNI tlh memantik api jiwa korsa prajurit jgn anggap remeh jk @PDI_Perjuangan tdk merecall Effendi Simbolon, MKD @DPR_RI tdk menyidang anggota dewan yg arogan &amp; sok pahlawan krn merasa senior, @puanmaharani_ri Megawati diam saja, Tunggu Pemilu 2024🔥😡  https://t.co/4REmrbMdxL",kontra
