Unnamed: 0,tweet,Label
0,"['wacana', 'jokowi', 'wapres', 'sorot', 'media', 'asing', 'singgung', 'nama', 'soeharto', 'megawati']",kontra
1,"['megawati', 'soekarnoputri', 'bicara', 'tara', 'forum', 'for', 'peace', 'and', 'prosperity', 'ajak', 'delegasi', 'negara', 'ide', 'basabasi']",pro
2,"['sajak', 'pdip', 'feodal', 'tunggu', 'putus', 'organisasi', 'politik', 'anak', 'cucu', 'megawati', 'ya']",kontra
3,"['megawati', 'modernisasi', 'lupa', 'pelihara', 'lingkung', 'hidup']",pro
4,"['wakil', 'presiden', 'cocok', 'usung', 'juang', 'ri', 'serah', 'bu', 'megawati', 'putus']",kontra
5,"['marm', 'nama', 'aja', 'bencong', 'lompat', 'pager', 'hina', 'kabur', 'urus', 'pribadi', 'poligami', 'kasi', 'bapak', 'megawati']",kontra
6,"['sulit', 'erti', 'moga', 'kawan', 'ferdy', 'sambo', 'calon', 'istri', 'jeje', 'guru', 'ngaji', 'mu', 'samsudin', 'jadab', 'tabung', 'simpan', 'yusuf', 'mansur', 'mertua', 'megawati', 'rumah', 'jaga', 'pemuda', 'pancasila', 'moga', 'rendang', 'mu', 'lengkuas']",kontra
7,"['megawati', 'tanam', 'pohon', 'jeju', 'makna', 'hubung', 'rikorea', 'lengkap']",pro
8,"['megawati', 'spirit', 'pancasila', 'jeju', 'forum', 'korsel', 'lengkap']",pro
9,"['kait', 'tolak', 'naik', 'harga', 'bbm', 'hal', 'upaya', 'bela', 'orangorang', 'kaya', 'guna', 'bahan', 'bakar', 'jenis', 'pertalite', 'dominasi', 'orang', 'bansosuntuk', 'wongcilik']",kontra
10,"['indonesia', 'kalo', 'deket', 'rusia', 'yg', 'untung', 'ya', 'megawati', 'pdip', 'cina', 'lo', 'dimanfaatin', 'doang', 'sadar', 'gak']",kontra
11,['megawati'],netral
12,"['ga', 'megawati', 'yaaaah']",netral
13,"['megawati', 'sukarnoputri', 'is', 'centrist']",kontra
14,"['dgn', 'jadi', 'bu', 'megawati', 'gak', 'usung', 'ganjar', 'jd', 'capres', 'pdip']",pro
15,"['apaapa', 'kait', 'politik', 'prabowo', 'aja', 'udah', 'rapat', 'megawati', 'segitu', 'mudah', 'giring', 'ya', 'bang', 'bjorka', 'sorot', 'lemah', 'sistem', 'aman', 'situssitus', 'perintah', 'kerja', 'kominfo', 'bahas', 'politik', 'politik', 'mah', 'kotor']",kontra
16,"['gak', 'masuk', 'akal', 'pdip', 'menang', 'suara', 'kuasa', 'gimana', 'megawati', 'main', 'jadi', 'wahhh', 'ada', 'ngada', 'cak', 'iminnn']",kontra
17,"['ketua', 'pdip', 'megawati', 'soekarnoputri', 'jamu', 'makan', 'malam', 'delegasi', 'negara', 'hadir', 'forum', 'for', 'peace', 'and', 'prosperity']",pro
18,"['tum', 'pdip', 'megawati', 'soekarnoputri', 'bicara', 'kait', 'modernisasi', 'lingkung', 'sebut', 'modernisasi', 'orang', 'lupa', 'alam']",pro
19,[],netral
20,"['megawati', 'teknologi', 'alat', 'bantu', 'alam', 'beri', 'allahswt']",pro
